"","team_1","team_2"
"1","Milan","AC Milan"
"2","Inter","Internazionale"
"3","Roma","AS Roma"
"4","Hellas Verona","Verona"
"5","Parma Calcio 1913","Parma"
"6","SPAL","Spal"
"7","Venezia","F.B.C Unione Venezia"
