"","match_id","team_id","team_name","id","using_opta_id","first_name","last_name","image_url","page_url","shirt","is_home_team","time_subbed_on","time_subbed_off","usual_position","position_row","role","is_captain","subbed_out","g","rating_num","rating_bgcolor","is_top_rating","is_match_finished","fantasy_score_num","fantasy_score_bgcolor","home_team_id","home_team_color","away_team_id","away_team_color","stats_fot_mob_rating","stats_minutes_played","stats_saves","stats_goals_conceded","stats_x_got_faced","stats_accurate_passes","stats_accurate_long_balls","stats_diving_save","stats_saves_inside_box","stats_acted_as_sweeper","stats_punches","stats_throws","stats_high_claim","stats_recoveries","stats_touches","stats_goals","stats_assists","stats_total_shots","stats_chances_created","stats_expected_assists_x_a","stats_passes_into_final_third","stats_accurate_crosses","stats_dispossessed","stats_tackles_won","stats_clearances","stats_headed_clearance","stats_interceptions","stats_dribbled_past","stats_ground_duels_won","stats_aerial_duels_won","stats_was_fouled","stats_fouls_committed","stats_shotmap","stats_expected_goals_x_g","stats_shot_accuracy","stats_successful_dribbles","stats_blocks","stats_corners","stats_blocked_shots","stats_expected_goals_on_target_x_got","stats_error_led_to_goal","stats_offsides","stats_own_goal","stats_clearance_off_the_line","stats_big_chance_missed","shotmap","is_starter","stats_penalties_miss","stats_saved_penalties","stats_penalties_won","stats_conceded_penalty","stats_errors_led_to_goal","stats_last_man_tackle","stats_penalty_goals_conceded","opp_rating","league","team_rating","elo_dif","page_url_2"
"562","3978747","203576","Melbourne City","770232","FALSE","Thomas","Glover","https://images.fotmob.com/image_resources/playerimages/770232.png","/players/770232/","1","FALSE","NA","NA","0","0","Keeper","NA","NA","NA","7.3","#1ec853","FALSE","TRUE",NA,"purple","6230","#183060","203576","#001840","7.33","90","4","0","1.23","27","5/13 (38%)","1","3","0","1","5","0","6","38","NA","NA","NA",NA,"NA",NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA","NA",NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,"NULL","TRUE",NA,NA,NA,NA,NA,NA,NA,"25.81","A-League","35.93","10.12","/players/770232/thomas-glover"
"563","3978747","6230","Melbourne Victory","874601","FALSE","Ben","Folami","https://images.fotmob.com/image_resources/playerimages/874601.png","/players/874601/","11","TRUE","64","NA","3","0","Attacker","NA","NA","NA","5.8","#f08022","FALSE","TRUE",NA,"purple","6230","#183060","203576","#001840","5.79","26",NA,NA,"NA","9","1/2 (50%)",NA,NA,NA,NA,NA,NA,NA,"21","0","0","0"," 0","NA"," 1","0/1 (0%)"," 0","NA",NA,NA,NA,NA,"2/6 (33%)"," 0"," 2"," 0",NA,"NA","NA","0/4 (0%)",NA,NA,NA,"NA",NA,NA,NA,NA,NA,"NULL","FALSE",NA,NA,NA,NA,NA,NA,NA,"35.93","A-League","25.81","-10.12","/players/874601/ben-folami"
"564","3978747","6230","Melbourne Victory","1250885","FALSE","Nishan","Velupillay","https://images.fotmob.com/image_resources/playerimages/1250885.png","/players/1250885/","24","TRUE","83","NA","3","0","Attacker","NA","NA","NA",NA,"#989898","FALSE","TRUE",NA,"purple","6230","#183060","203576","#001840"," 0","7",NA,NA,"NA","3",NA,NA,NA,NA,NA,NA,NA," 1"," 6","0","0","0"," 0","NA",NA,"0/1 (0%)"," 1","NA",NA,NA,NA,NA,"0/1 (0%)"," 0"," 0"," 0",NA,"NA","NA",NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,"NULL","FALSE",NA,NA,NA,NA,NA,NA,NA,"35.93","A-League","25.81","-10.12","/players/1250885/nishan-velupillay"
"565","3978747","6230","Melbourne Victory","281206","FALSE","Tomi","Juric","https://images.fotmob.com/image_resources/playerimages/281206.png","/players/281206/","9","TRUE","83","NA","3","0","Attacker","NA","NA","NA",NA,"#989898","FALSE","TRUE",NA,"purple","6230","#183060","203576","#001840"," 0","7",NA,NA,"NA","2",NA,NA,NA,NA,NA,NA,NA,NA," 3","0","0","0"," 0","NA",NA,NA," 0","NA",NA,NA,NA,NA," 0","0/2 (0%)"," 0"," 0",NA,"NA","NA",NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,"NULL","FALSE",NA,NA,NA,NA,NA,NA,NA,"35.93","A-League","25.81","-10.12","/players/281206/tomi-juric"
"566","3978747","6230","Melbourne Victory","517551","FALSE","Nathan","Konstandopoulos","https://images.fotmob.com/image_resources/playerimages/517551.png","/players/517551/","23","TRUE","83","NA","2","0","Midfielder","NA","NA","NA",NA,"#989898","FALSE","TRUE",NA,"purple","6230","#183060","203576","#001840"," 0","7",NA,NA,"NA","7",NA,NA,NA,NA,NA,NA,NA," 1","12","0","0","0"," 0","NA"," 3","0/1 (0%)"," 0","NA",NA,NA,NA,NA,"2/2 (100%)","1/1 (100%)"," 1"," 0",NA,"NA","NA","1/1 (100%)",NA,NA,NA,"NA",NA,NA,NA,NA,NA,"NULL","FALSE",NA,NA,NA,NA,NA,NA,NA,"35.93","A-League","25.81","-10.12","/players/517551/nathan-konstandopoulos"
"567","3978747","6230","Melbourne Victory","69130","FALSE","Leigh","Broxham","https://images.fotmob.com/image_resources/playerimages/69130.png","/players/69130/","6","TRUE","NA","NA","2","0","Midfielder","NA","NA","NA",NA,"#989898","FALSE","TRUE",NA,"purple","6230","#183060","203576","#001840"," 0","NA",NA,NA,"NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0"," 0","NA",NA,NA," 0","NA",NA,NA,NA,NA," 0"," 0"," 0"," 0",NA,"NA","NA",NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,"NULL","FALSE",NA,NA,NA,NA,NA,NA,NA,"35.93","A-League","25.81","-10.12","/players/69130/leigh-broxham"
"568","3978747","6230","Melbourne Victory","1110665","FALSE","Noah","Smith","https://images.fotmob.com/image_resources/playerimages/1110665.png","/players/1110665/","25","TRUE","NA","NA","2","0","Midfielder","NA","NA","NA",NA,"#989898","FALSE","TRUE",NA,"purple","6230","#183060","203576","#001840"," 0","NA",NA,NA,"NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0"," 0","NA",NA,NA," 0","NA",NA,NA,NA,NA," 0"," 0"," 0"," 0",NA,"NA","NA",NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,"NULL","FALSE",NA,NA,NA,NA,NA,NA,NA,"35.93","A-League","25.81","-10.12","/players/1110665/noah-smith"
"569","3978747","6230","Melbourne Victory","181214","FALSE","Matt","Acton","https://images.fotmob.com/image_resources/playerimages/181214.png","/players/181214/","1","TRUE","NA","NA","0","0","Keeper","NA","NA","NA",NA,"#989898","FALSE","TRUE",NA,"purple","6230","#183060","203576","#001840","0","NA","0","0","2.38","NA","0","0","0","0","0","0","0","0","0","NA","NA","NA",NA,"NA",NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA","NA",NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,"NULL","FALSE",NA,NA,NA,NA,NA,NA,NA,"35.93","A-League","25.81","-10.12","/players/181214/matt-acton"
"570","3978747","203576","Melbourne City","662363","FALSE","Richard","van der Venne","https://images.fotmob.com/image_resources/playerimages/662363.png","/players/662363/","8","FALSE","67","NA","2","0","Midfielder","NA","NA","NA","6.6","#f08022","FALSE","TRUE",NA,"purple","6230","#183060","203576","#001840","6.63","23",NA,NA,"NA","15",NA,NA,NA,NA,NA,NA,NA," 2","23","0","0","1"," 1","0.22"," 2","1/2 (50%)"," 0","NA"," 1",NA," 1",NA,"0/2 (0%)","0/1 (0%)"," 0"," 3","TRUE","0.07","NA",NA,NA," 3"," 1","NA",NA,NA,NA,NA,NA,"list(id = 2475239503, eventType = ""AttemptSaved"", teamId = 203576, playerId = 662363, playerName = ""Richard van der Venne"", x = 92.8000030517578, y = 43.4402537030129, min = 70, minAdded = NA, isBlocked = TRUE, isOnTarget = TRUE, blockedX = 96.2192982446, blockedY = 41.141904762, goalCrossedY = 33.8475, goalCrossedZ = 1.219999994, expectedGoals = 0.0655134320259094, expectedGoalsOnTarget = NA, shotType = ""LeftFoot"", situation = ""RegularPlay"", period = ""SecondHalf"", isOwnGoal = FALSE, onGoalShot = list(
    x = 1.04034391534392, y = 0.322751321164021, zoomRatio = 1), teamColor = ""#001840"")","FALSE",NA,NA,NA,NA,NA,NA,NA,"25.81","A-League","35.93","10.12","/players/662363/richard-van-der-venne"
"571","3978747","203576","Melbourne City","426141","FALSE","Scott","Galloway","https://images.fotmob.com/image_resources/playerimages/426141.png","/players/426141/","2","FALSE","67","NA","1","0","Defender","NA","NA","NA","6.3","#f08022","FALSE","TRUE",NA,"purple","6230","#183060","203576","#001840","6.26","23",NA,NA,"NA","10",NA,NA,NA,NA,NA,NA,NA," 1","13","0","0","0"," 1","0.17",NA,NA," 0","1",NA,NA,NA," 1","2/4 (50%)","0/1 (0%)"," 1"," 1",NA,"NA","NA",NA," 1",NA,NA,"NA",NA,NA,NA,NA,NA,"list()","FALSE",NA,NA,NA,NA,NA,NA,NA,"25.81","A-League","35.93","10.12","/players/426141/scott-galloway"
