"","team_1","team_2"
"1","Gent","KAA Gent"
"2","Sporting Charleroi","Sporting de Charleroi"
"3","Kortrijk","KV Kortrijk"
"4","Zulte Waregem","SV Zulte Waregem"
"5","St.Truiden","St. Truidense"
"6","Union St.Gilloise","Union Saint Gilloise"
"7","Royal Antwerp","Antwerp"
"8","Oostende","KV Oostende"
"9","Westerlo","KVC Westerlo"
