"","team_1","team_2"
"1","Standard de Liège","Standard Liege"
"2","Sint-Truiden","St. Truidense"
"3","AS Eupen","Eupen"
"4","Westerlo","KVC Westerlo"
"5","Seraing United","RFC Seraing"
"6","Royal Antwerp FC","Antwerp"
"7","AA Gent","KAA Gent"
"8","KRC Genk","Genk"
"9","Zulte Waregem","SV Zulte Waregem"
"10","Union Saint-Gilloise","Union Saint Gilloise"
"11","Kortrijk","KV Kortrijk"
