"","Time","League","Matchup","MGM Market Name","BetRivers Market Name","Draftkings Market Name","Caesars Market Name","Fanduel Market Name","PointsBet Market Name","MGM Selection Name","BetRivers Selection Name","Draftkings Selection Name","Caesars Selection Name","Fanduel Selection","PointsBet Selection","MGM Odds","BetRivers Odds","Draftkings Odds","Caesars Odds","Fanduel Odds","PointsBet Odds","update_time"
"33","2023-09-13T00:30:00Z","South America WC Qualification, CONMEBOL","Chile-Colombia","Draw No Bet","Tie No Bet","Tie No Bet","Draw No Bet","Tie No Bet","draw no bet","Chile","Chile","Chile","Chile","Chile","Chile",115,130,125,130,130,118,2023-09-12 18:40:00.984976
"34","2023-09-13T00:30:00Z","South America WC Qualification, CONMEBOL","Chile-Colombia","Draw No Bet","Tie No Bet","Tie No Bet","Draw No Bet","Tie No Bet","draw no bet","Colombia","Colombia","Colombia","Colombia","Colombia","Colombia",-164,-155,-155,-160,-165,-160,2023-09-12 18:40:00.984976
"35","2023-09-13T02:00:00Z","South America WC Qualification, CONMEBOL","Peru-Brazil","Draw No Bet","Tie No Bet","Tie No Bet","Draw No Bet","Tie No Bet","draw no bet","Brazil","Brazil","Brazil","Brazil","Brazil","Brazil",-1429,-1000,-1200,-1000,-1600,-1499,2023-09-12 18:40:00.984976
"36","2023-09-13T02:00:00Z","South America WC Qualification, CONMEBOL","Peru-Brazil","Draw No Bet","Tie No Bet","Tie No Bet","Draw No Bet","Tie No Bet","draw no bet","Peru","Peru","Peru","Peru","Peru","Peru",650,650,700,625,700,625,2023-09-12 18:40:00.984976
"37","2023-09-13T00:30:00Z","South America WC Qualification, CONMEBOL","Chile-Colombia","Match Result","Regular Time","Moneyline","90 Minutes","Moneyline","match result","Chile","Chile","Chile","Chile","Chile","Chile",225,235,230,235,230,220,2023-09-12 18:40:00.984976
"38","2023-09-13T00:30:00Z","South America WC Qualification, CONMEBOL","Chile-Colombia","Match Result","Regular Time","Moneyline","90 Minutes","Moneyline","match result","Colombia","Colombia","Colombia","Colombia","Colombia","Colombia",140,140,135,135,130,140,2023-09-12 18:40:00.984976
"39","2023-09-13T00:30:00Z","South America WC Qualification, CONMEBOL","Chile-Colombia","Match Result","Regular Time","Moneyline","90 Minutes","Moneyline","match result","Draw","Draw","Draw","Draw","Draw","Draw",200,210,215,195,200,200,2023-09-12 18:40:00.984976
"40","2023-09-13T02:00:00Z","South America WC Qualification, CONMEBOL","Peru-Brazil","Match Result","Regular Time","Moneyline","90 Minutes","Moneyline","match result","Brazil","Brazil","Brazil","Brazil","Brazil","Brazil",-312,-286,-300,-310,-350,-325,2023-09-12 18:40:00.984976
"41","2023-09-13T02:00:00Z","South America WC Qualification, CONMEBOL","Peru-Brazil","Match Result","Regular Time","Moneyline","90 Minutes","Moneyline","match result","Draw","Draw","Draw","Draw","Draw","Draw",400,410,400,390,420,400,2023-09-12 18:40:00.984976
"42","2023-09-13T02:00:00Z","South America WC Qualification, CONMEBOL","Peru-Brazil","Match Result","Regular Time","Moneyline","90 Minutes","Moneyline","match result","Peru","Peru","Peru","Peru","Peru","Peru",950,800,950,900,850,900,2023-09-12 18:40:00.984976
